GHCN_ID,NAME,LATITUDE,LONGITUDE,ELEVATION,ISO_CODE
INM00042618,KAILASHAHAR,24.317,92.0,30.0,IN
INM00042925,MALEGAON,20.55,74.533,437.0,IN
INM00042768,CHHINDWARA,22.1,79.0,685.0,IN
INM00043185,MACHILIPATNAM/FRANCHPET,16.2,81.15,3.0,IN
INM00043069,BARAMATI,18.15,74.583,551.0,IN
INM00043017,PARBHANI,19.133,76.833,422.0,IN
INM00043358,KOVILANGULAM,9.55,78.083,103.0,IN
INI0000VIJO,JODHPUR,26.251,73.049,218.5,IN
INM00042237,PHALODI,27.133,72.367,234.0,IN
INI0000VELP,LENGPUI,23.841,92.62,426.1,IN
INM00042970,CUTTACK,20.467,85.933,27.0,IN
INM00043057,BOMBAY / COLABA,18.9,72.817,11.0,IN
INM00042943,YEOTMAL,20.4,78.15,451.0,IN
INM00042473,BANDA,25.467,80.367,121.0,IN
INM00042407,GOALPARA,26.183,90.633,38.0,IN
INM00043354,PUNALUR,9.0,76.917,34.0,IN
INM00043076,UDGIR,18.067,77.117,639.0,IN
INM00042799,JAMSHEDPUR,22.817,86.183,129.0,IN
INM00042065,MANALI,32.267,77.167,2039.0,IN
INM00042793,ROURKELA,22.217,84.883,196.0,IN
INM00042296,KALIMPONG,27.067,88.467,1209.0,IN
INM00042619,SILCHAR,24.75,92.8,29.0,IN
INM00043377,KANNIYAKUMARI,8.083,77.5,37.0,IN
INM00042483,VARANASI,25.3,83.017,90.0,IN
INM00042946,BRAMHAPURI,20.6,79.85,229.0,IN
INM00042891,KEONGJHARGARH,21.617,85.517,463.0,IN
INI0000VELR,LILABARI,27.295,94.098,100.6,IN
INM00042488,CHAPRA,25.783,84.733,58.0,IN
INM00043168,MAHABUBNAGAR,16.75,78.0,505.0,IN
INM00042413,MAJBAT,26.75,92.35,120.0,IN
INI0000VOCL,CALICUT,11.137,75.955,104.2,IN
INM00043315,CANNUR,11.833,75.333,18.0,IN
INM00042860,BETUL,21.867,77.933,653.0,IN
INM00043228,KOPPAL,15.35,76.15,532.0,IN
INM00043357,THRISSUR,10.517,76.217,39.0,IN
INM00042916,DAMAN,20.417,72.85,12.0,IN
INM00042894,BARIPADA,21.933,86.767,54.0,IN
INM00042715,MALANJKHAND,22.0,80.7,581.0,IN
INM00043363,PAMBAN,9.283,79.217,11.0,IN
INI0000VAKD,KHANDWA,21.833,76.367,318.0,IN
INM00043177,RENTACHINTALA,16.55,79.55,106.0,IN
INM00042077,UNA,31.467,76.267,369.0,IN
INM00043147,TUNI,17.35,82.55,35.0,IN
INI0000VEMN,DIBRUGARH,27.484,95.017,110.3,IN
INM00043314,KOZHIKODE,11.25,75.783,5.0,IN
INI0000VABV,BHAVNAGAR,21.752,72.185,13.4,IN
INM00042083,SHIMLA,31.1,77.167,2202.0,IN
INM00042731,DWARKA,22.367,69.083,11.0,IN
INM00042471,FATEHPUR,25.933,80.833,114.0,IN
INM00043150,CWC VISHAKHAPATNAM/WALTAIR,17.7,83.3,66.0,IN
INM00042674,DAMOH,23.833,79.45,371.0,IN
INM00042662,UJJAIN,23.183,75.783,489.0,IN
INM00043109,HARNAI,17.817,73.1,20.0,IN
INM00042705,BANGALURU INTL AIRPORT / KEMP,13.2,77.7,915.0,IN
INM00043200,DHARWAD,15.483,74.983,678.0,IN
INM00043121,GULBARGA,17.35,76.85,458.0,IN
INM00042399,JALPAIGURI,26.533,88.717,83.0,IN
INI0000VIJP,JAIPUR,26.824,75.812,385.0,IN
INI0000VIBY,BAREILLY,28.422,79.451,176.8,IN
INM00043227,HAVERI,14.783,75.4,573.0,IN
INM00042101,PATIALA,30.333,76.467,251.0,IN
INM00043278,NUMGAMBAKKAM,13.067,80.2,7.0,IN
INM00042081,BHUNTAR,31.833,77.167,1084.0,IN
INM00042679,UMARIA,23.533,80.883,459.0,IN
INM00042562,TIKAMGARH,24.767,78.833,345.0,IN
INM00043287,MADIKERI,12.417,75.733,1153.0,IN
INM00043241,CUDDAPAH,14.483,78.833,130.0,IN
INM00043309,MAYA BANDAR,12.917,92.917,28.0,IN
INM00043081,NIZAMABAD,18.667,78.1,381.0,IN
INM00042961,TITLAGARH,20.3,83.3,211.0,IN
INI0000VEBS,BHUBANESHWAR / BIJU PATNAIK I,20.244,85.818,42.1,IN
INM00042459,SHIVPURI,25.333,77.65,464.0,IN
INM00042900,CONTAI,21.783,87.75,11.0,IN
INI0000VIJN,JHANSI,25.491,78.558,244.1,IN
INM00042744,VALLABH VIDYANAGAR,22.567,72.933,44.0,IN
INI0000VILH,LEH,34.136,77.547,3255.9,IN
INI0000VAOZ,OZAR AIR FORCE STATION /NASHI,20.119,73.914,598.0,IN
INM00042763,HOSHANGABAD,22.767,77.767,302.0,IN
INM00043111,MAHABALESHWAR,17.933,73.667,1382.0,IN
INM00043058,ALIBAG,18.633,72.867,7.0,IN
